x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,value,Timestamp
-1.570796327,3.141592654,1.570796327,3.141592654,0,0,1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,-1.570796327,0,-1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,0,3.141592654,1.570796327,-1.570796327,3.141592654,0,0,0,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,0,0,1.570796327,-1.570796327,1.570796327,1.570796327,0,1.570796327,3.141592654,3.141592654,3.141592654,0,0,0,0,-1.570796327,0.467470703125,9746
3.141592654,0,0,1.570796327,3.141592654,0,1.570796327,0,3.141592654,-1.570796327,3.141592654,3.141592654,0,3.141592654,0,-1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,3.141592654,1.570796327,-1.570796327,0,0,0,0,1.570796327,1.570796327,-1.570796327,-1.570796327,0,-1.570796327,0,1.570796327,0,0,3.141592654,3.141592654,0,-1.570796327,-1.570796327,0.465732421875,19021
-1.570796327,3.141592654,-1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,1.570796327,1.570796327,3.141592654,0,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,-1.570796327,0,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,0,1.570796327,3.141592654,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,0,3.141592654,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0,3.141592654,3.141592654,0.469765625,29221
-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,0,0,1.570796327,0,-1.570796327,3.141592654,3.141592654,0,3.141592654,-1.570796327,3.141592654,1.570796327,0,3.141592654,0,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,0,0,-1.570796327,3.141592654,0,3.141592654,3.141592654,0,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,0,1.570796327,1.570796327,1.570796327,0,1.570796327,1.570796327,3.141592654,0.471318359375,38824
3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,0,-1.570796327,0,1.570796327,1.570796327,3.141592654,0,1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,0,1.570796327,3.141592654,1.570796327,0,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,1.570796327,0,3.141592654,3.141592654,1.570796327,3.141592654,-1.570796327,0,1.570796327,-1.570796327,0.479091796875,49026
0,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,0,-1.570796327,3.141592654,0,0,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,0,3.141592654,0,3.141592654,-1.570796327,3.141592654,1.570796327,0,0,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,0,0,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,-1.570796327,3.141592654,-1.570796327,0,0,0,0,3.141592654,0.472255859375,58671
0,3.141592654,-1.570796327,3.141592654,1.570796327,-1.570796327,0,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,0,-1.570796327,-1.570796327,-1.570796327,0,-1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,0,3.141592654,-1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,-1.570796327,1.570796327,0.472412109375,69271
0,1.570796327,0,3.141592654,3.141592654,0,1.570796327,3.141592654,1.570796327,0,0,0,0,1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,0,-1.570796327,1.570796327,0,1.570796327,3.141592654,1.570796327,1.570796327,0,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,0,0,-1.570796327,3.141592654,0,3.141592654,-1.570796327,0,3.141592654,3.141592654,0.444521484375,78693
0,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0,0,1.570796327,-1.570796327,0,-1.570796327,-1.570796327,0,0,1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,0,-1.570796327,3.141592654,3.141592654,0,3.141592654,-1.570796327,3.141592654,3.141592654,0,3.141592654,0,0,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,0,0,0.47576171875,88370
0,1.570796327,1.570796327,0,0,3.141592654,1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,0,0,0,-1.570796327,3.141592654,3.141592654,0,1.570796327,1.570796327,0,3.141592654,3.141592654,-1.570796327,1.570796327,0,3.141592654,1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,0,1.570796327,1.570796327,0,0,3.141592654,-1.570796327,1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,3.141592654,0,0.471416015625,98153
-1.570796327,3.141592654,0,3.141592654,0,-1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,0,3.141592654,-1.570796327,1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,0,1.570796327,3.141592654,-1.570796327,0,3.141592654,3.141592654,-1.570796327,0,-1.570796327,1.570796327,3.141592654,0,3.141592654,0.464697265625,108080
3.141592654,1.570796327,1.570796327,0,1.570796327,1.570796327,0,1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,0,3.141592654,1.570796327,3.141592654,0,-1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,-1.570796327,0,-1.570796327,3.141592654,0,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0,1.570796327,-1.570796327,-1.570796327,-1.570796327,0,0,-1.570796327,1.570796327,0.47123046875,118390
0,0,1.570796327,-1.570796327,3.141592654,1.570796327,0,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,3.141592654,0,3.141592654,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,0,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,0,0,1.570796327,1.570796327,0,1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,3.141592654,0,1.570796327,1.570796327,0,3.141592654,0.470859375,128247
0,0,1.570796327,0,0,3.141592654,0,1.570796327,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,0,3.141592654,0,3.141592654,0,0,0,3.141592654,1.570796327,0,-1.570796327,0,0,0,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0,1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,0,0,3.141592654,3.141592654,3.141592654,-1.570796327,0,-1.570796327,-1.570796327,1.570796327,0.487001953125,137410
1.570796327,1.570796327,3.141592654,0,0,-1.570796327,-1.570796327,3.141592654,0,1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,1.570796327,1.570796327,1.570796327,0,3.141592654,1.570796327,3.141592654,-1.570796327,-1.570796327,0,0,1.570796327,3.141592654,0,1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,0,3.141592654,-1.570796327,0,-1.570796327,1.570796327,1.570796327,0,0,1.570796327,1.570796327,0.466689453125,147446
3.141592654,1.570796327,0,1.570796327,3.141592654,0,0,3.141592654,0,1.570796327,0,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,3.141592654,0,0,1.570796327,0,1.570796327,0,1.570796327,3.141592654,-1.570796327,0,0,3.141592654,0,0,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,0,0,0.46525390625,156849
3.141592654,-1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,0,-1.570796327,3.141592654,-1.570796327,0,-1.570796327,0,1.570796327,0,0,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,0,-1.570796327,0,0,0,-1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,0,-1.570796327,0,0,1.570796327,3.141592654,0,-1.570796327,0,0,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,0.4756640625,166497
3.141592654,-1.570796327,3.141592654,1.570796327,0,1.570796327,0,3.141592654,1.570796327,-1.570796327,0,3.141592654,1.570796327,-1.570796327,0,1.570796327,0,-1.570796327,3.141592654,3.141592654,0,3.141592654,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,0,1.570796327,0,0,-1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.4602734375,176527
0,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,0,-1.570796327,3.141592654,0,-1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,0,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,0,0,1.570796327,3.141592654,-1.570796327,0,3.141592654,0,1.570796327,3.141592654,3.141592654,0,1.570796327,0,0,-1.570796327,3.141592654,-1.570796327,3.141592654,0,3.141592654,0,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,0.46970703125,186239
3.141592654,0,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,-1.570796327,-1.570796327,3.141592654,0,3.141592654,1.570796327,-1.570796327,3.141592654,0,3.141592654,1.570796327,-1.570796327,3.141592654,0,3.141592654,0,3.141592654,-1.570796327,0,1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,0,0,0,0,3.141592654,-1.570796327,0,1.570796327,0,0,-1.570796327,1.570796327,3.141592654,0.466494140625,195897
