x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,value,Timestamp
3.141592654,1.570796327,-1.570796327,0,3.141592654,0,1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,0,1.570796327,1.570796327,0,0,3.141592654,1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,0,3.141592654,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,-1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,0,0.467099609375,10387
0,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,0,1.570796327,1.570796327,3.141592654,0,3.141592654,0,3.141592654,0,0,1.570796327,0,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,0,0,0,0,0,3.141592654,1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0,3.141592654,-1.570796327,3.141592654,-1.570796327,0,3.141592654,1.570796327,0,1.570796327,-1.570796327,-1.570796327,-1.570796327,0.4678125,19694
3.141592654,0,3.141592654,3.141592654,0,0,1.570796327,0,1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,-1.570796327,0,1.570796327,1.570796327,-1.570796327,0,0,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,3.141592654,0,1.570796327,0,1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,3.141592654,-1.570796327,0,0,3.141592654,1.570796327,3.141592654,1.570796327,0,3.141592654,1.570796327,1.570796327,-1.570796327,0.484599609375,29122
3.141592654,3.141592654,0,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,0,0,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,0,0,1.570796327,-1.570796327,0,-1.570796327,3.141592654,1.570796327,0,1.570796327,3.141592654,3.141592654,3.141592654,0,0,0,-1.570796327,-1.570796327,0,-1.570796327,0,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,0,-1.570796327,1.570796327,1.570796327,0,-1.570796327,1.570796327,3.141592654,0.48271484375,38582
-1.570796327,0,-1.570796327,-1.570796327,0,1.570796327,-1.570796327,-1.570796327,3.141592654,0,3.141592654,-1.570796327,1.570796327,-1.570796327,0,0,0,0,1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0,3.141592654,0,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,0,-1.570796327,0,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,0.469482421875,48440
0,0,1.570796327,1.570796327,0,-1.570796327,1.570796327,1.570796327,0,1.570796327,-1.570796327,-1.570796327,-1.570796327,0,1.570796327,3.141592654,0,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,0,-1.570796327,1.570796327,0,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,0,3.141592654,-1.570796327,0,0,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,0.463173828125,58482
3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,0,3.141592654,-1.570796327,3.141592654,0,0,0,3.141592654,-1.570796327,0,0,-1.570796327,-1.570796327,3.141592654,1.570796327,0,0,1.570796327,0,1.570796327,3.141592654,3.141592654,-1.570796327,-1.570796327,0,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,0,3.141592654,1.570796327,0.475166015625,68422
-1.570796327,-1.570796327,3.141592654,0,1.570796327,-1.570796327,0,1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,1.570796327,0,3.141592654,3.141592654,1.570796327,0,1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,0,-1.570796327,1.570796327,1.570796327,0,-1.570796327,1.570796327,0,-1.570796327,-1.570796327,-1.570796327,0,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,1.570796327,3.141592654,1.570796327,3.141592654,0.470732421875,78643
1.570796327,1.570796327,0,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,0,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,0,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,0,3.141592654,3.141592654,0,0,3.141592654,0,0,3.141592654,1.570796327,3.141592654,-1.570796327,0,0,0,3.141592654,-1.570796327,0,-1.570796327,1.570796327,3.141592654,0.465625,88415
3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,-1.570796327,0,1.570796327,-1.570796327,-1.570796327,0,-1.570796327,3.141592654,0,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,0,3.141592654,-1.570796327,3.141592654,0,1.570796327,1.570796327,-1.570796327,0,0,-1.570796327,1.570796327,3.141592654,0,1.570796327,0,3.141592654,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0,-1.570796327,-1.570796327,0,3.141592654,-1.570796327,0.473544921875,98303
