x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,value,Timestamp
0,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,0,3.141592654,0,3.141592654,1.570796327,1.570796327,1.570796327,-1.570796327,0,1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,0,0,-1.570796327,-1.570796327,-1.570796327,1.570796327,0,3.141592654,1.570796327,3.141592654,0,-1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,0,-1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,0.47509765625,9836
3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,0,-1.570796327,3.141592654,0,3.141592654,3.141592654,0,0,1.570796327,1.570796327,3.141592654,-1.570796327,0,1.570796327,-1.570796327,-1.570796327,-1.570796327,0,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,0,3.141592654,0,0,3.141592654,-1.570796327,-1.570796327,0,-1.570796327,1.570796327,0,3.141592654,1.570796327,1.570796327,-1.570796327,0,-1.570796327,0,0,0.478740234375,19090
3.141592654,1.570796327,0,1.570796327,1.570796327,-1.570796327,3.141592654,-1.570796327,0,-1.570796327,3.141592654,1.570796327,0,3.141592654,0,3.141592654,-1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,0,3.141592654,-1.570796327,1.570796327,3.141592654,3.141592654,0,3.141592654,1.570796327,3.141592654,0,-1.570796327,0,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,1.570796327,0.47439453125,28997
1.570796327,0,3.141592654,-1.570796327,0,-1.570796327,3.141592654,-1.570796327,0,1.570796327,0,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,0,3.141592654,-1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0,1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,0,1.570796327,0,0,-1.570796327,-1.570796327,-1.570796327,0,1.570796327,3.141592654,1.570796327,0,1.570796327,0.470830078125,38719
1.570796327,1.570796327,1.570796327,1.570796327,0,3.141592654,-1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,-1.570796327,-1.570796327,-1.570796327,0,0,0,0,3.141592654,1.570796327,0,-1.570796327,1.570796327,3.141592654,0,3.141592654,3.141592654,3.141592654,1.570796327,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,1.570796327,0,0,1.570796327,0,1.570796327,0.473818359375,48710
0,3.141592654,0,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,3.141592654,-1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,0,-1.570796327,3.141592654,-1.570796327,0,-1.570796327,-1.570796327,0,-1.570796327,0,3.141592654,0,-1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,0,1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,0,-1.570796327,-1.570796327,1.570796327,-1.570796327,0.473232421875,58725
1.570796327,0,3.141592654,0,1.570796327,-1.570796327,0,1.570796327,1.570796327,0,1.570796327,0,-1.570796327,0,0,3.141592654,0,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,0,1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,0,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0,-1.570796327,0,3.141592654,0,1.570796327,0,3.141592654,3.141592654,0,0,1.570796327,1.570796327,0,-1.570796327,0.473544921875,68002
3.141592654,0,0,0,0,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0,3.141592654,3.141592654,3.141592654,0,3.141592654,3.141592654,0,-1.570796327,3.141592654,3.141592654,1.570796327,0,0,0,0,0,0,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,0,0,1.570796327,1.570796327,0,0,3.141592654,0,0.4508984375,77039
3.141592654,1.570796327,0,0,-1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,1.570796327,3.141592654,1.570796327,0,1.570796327,1.570796327,3.141592654,3.141592654,0,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,0,-1.570796327,3.141592654,0,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,3.141592654,3.141592654,0,1.570796327,1.570796327,0,3.141592654,0,3.141592654,3.141592654,1.570796327,3.141592654,0,3.141592654,0.46962890625,86769
0,-1.570796327,-1.570796327,0,-1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,-1.570796327,0,3.141592654,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,0,-1.570796327,0,0,-1.570796327,3.141592654,0,3.141592654,-1.570796327,1.570796327,3.141592654,1.570796327,0,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,0,1.570796327,0,0,0,1.570796327,0,0,-1.570796327,0.466787109375,96363
