x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,value,Timestamp
3.141592654,3.141592654,0.0,0.0,-1.570796327,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,0.0,-1.570796327,0.0,-1.570796327,1.570796327,0.0,-1.570796327,0.0,3.141592654,-1.570796327,-1.570796327,1.570796327,0.0,0.0,0.0,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,0.0,0.0,0.0,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,1.570796327,0.0,0.0,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,0.0,0.0,0.0,1.570796327,1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,0.0,0.0,3.141592654,3.141592654,3.141592654,-1.570796327,1.0,12574.3060234
0.0,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,1.570796327,0.0,-1.570796327,-1.570796327,-1.570796327,0.0,-1.570796327,-1.570796327,0.0,0.0,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,0.0,0.0,-1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,1.570796327,0.0,3.141592654,3.141592654,-1.570796327,0.0,1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,-1.570796327,-1.570796327,0.0,-1.570796327,0.0,-1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,0.0,3.141592654,0.0,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,0.0,1.0,12707.6902528
1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,0.0,0.0,3.141592654,0.0,3.141592654,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,1.570796327,0.0,3.141592654,0.0,0.0,0.0,1.570796327,3.141592654,0.0,0.0,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,3.141592654,-1.570796327,0.0,3.141592654,3.141592654,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,3.141592654,1.570796327,3.141592654,0.0,0.0,-1.570796327,3.141592654,3.141592654,3.141592654,0.0,3.141592654,1.570796327,3.141592654,0.0,0.0,0.0,-1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,0.0,0.0,0.0,-1.570796327,0.0,1.570796327,1.0,12840.514294
1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0.0,0.0,1.570796327,0.0,3.141592654,1.570796327,0.0,0.0,3.141592654,1.570796327,3.141592654,0.0,-1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,0.0,0.0,1.570796327,1.570796327,0.0,3.141592654,1.570796327,1.570796327,0.0,-1.570796327,0.0,0.0,0.0,1.570796327,1.570796327,1.570796327,3.141592654,0.0,0.0,0.0,1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,0.0,0.0,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,0.0,1.570796327,3.141592654,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,3.141592654,3.141592654,1.570796327,0.0,1.0,12973.4396503
1.570796327,-1.570796327,0.0,3.141592654,3.141592654,3.141592654,1.570796327,-1.570796327,0.0,3.141592654,3.141592654,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,0.0,-1.570796327,1.570796327,3.141592654,-1.570796327,0.0,1.570796327,3.141592654,0.0,-1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,0.0,0.0,3.141592654,3.141592654,3.141592654,1.570796327,1.570796327,0.0,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,1.570796327,3.141592654,0.0,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,0.0,-1.570796327,1.570796327,0.0,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,3.141592654,-1.570796327,3.141592654,0.0,0.0,0.0,0.0,0.0,-1.570796327,1.570796327,1.0,13105.6195996
3.141592654,1.570796327,3.141592654,3.141592654,1.570796327,0.0,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,0.0,1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,0.0,0.0,0.0,-1.570796327,3.141592654,0.0,0.0,3.141592654,-1.570796327,-1.570796327,1.570796327,0.0,1.570796327,1.570796327,0.0,0.0,0.0,-1.570796327,3.141592654,3.141592654,0.0,0.0,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,1.570796327,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,0.0,0.0,0.0,1.570796327,3.141592654,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,0.0,0.0,3.141592654,1.570796327,1.0,13236.8134944
1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,0.0,1.570796327,-1.570796327,-1.570796327,0.0,0.0,3.141592654,0.0,0.0,-1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,-1.570796327,3.141592654,0.0,3.141592654,3.141592654,0.0,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,0.0,1.570796327,0.0,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,0.0,3.141592654,-1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,0.0,-1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,0.0,-1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,0.0,3.141592654,1.570796327,3.141592654,1.0,13369.6633461
0.0,0.0,0.0,3.141592654,0.0,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,1.570796327,-1.570796327,0.0,0.0,0.0,3.141592654,3.141592654,-1.570796327,0.0,-1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,0.0,-1.570796327,0.0,1.570796327,0.0,-1.570796327,3.141592654,1.570796327,3.141592654,0.0,0.0,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,-1.570796327,1.570796327,0.0,1.570796327,-1.570796327,0.0,3.141592654,3.141592654,3.141592654,0.0,-1.570796327,-1.570796327,0.0,0.0,0.0,0.0,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,-1.570796327,0.0,1.0,13502.2568793
0.0,3.141592654,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,0.0,0.0,-1.570796327,0.0,-1.570796327,-1.570796327,0.0,3.141592654,0.0,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,0.0,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,0.0,1.570796327,1.570796327,0.0,3.141592654,3.141592654,-1.570796327,0.0,3.141592654,1.570796327,-1.570796327,0.0,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,0.0,1.570796327,-1.570796327,0.0,-1.570796327,0.0,1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,-1.570796327,3.141592654,3.141592654,3.141592654,0.0,-1.570796327,1.570796327,3.141592654,-1.570796327,0.0,0.0,-1.570796327,1.570796327,1.0,13635.0775709
3.141592654,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,0.0,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,0.0,1.570796327,0.0,0.0,0.0,0.0,1.570796327,3.141592654,0.0,-1.570796327,0.0,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,0.0,-1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,0.0,3.141592654,0.0,1.570796327,3.141592654,0.0,1.570796327,0.0,1.570796327,0.0,0.0,-1.570796327,-1.570796327,0.0,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,0.0,0.0,0.0,-1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,0.0,3.141592654,1.570796327,1.570796327,1.570796327,1.570796327,1.0,13766.8134243
-1.570796327,1.570796327,3.141592654,0.0,1.570796327,1.570796327,1.570796327,0.0,1.570796327,1.570796327,0.0,1.570796327,1.570796327,1.570796327,1.570796327,0.0,1.570796327,3.141592654,0.0,-1.570796327,1.570796327,0.0,1.570796327,1.570796327,-1.570796327,0.0,3.141592654,1.570796327,0.0,3.141592654,-1.570796327,-1.570796327,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,-1.570796327,-1.570796327,0.0,0.0,1.570796327,1.570796327,1.570796327,3.141592654,0.0,0.0,1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,3.141592654,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,0.0,0.0,0.0,0.0,-1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,-1.570796327,-1.570796327,3.141592654,1.0,13898.9329452
