x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
0.0,0.0,-1.5707963267948966,0.0,3.141592653589793,1.5707963267948966,1.5707963267948966,-1.5707963267948966,3.141592653589793,-1.5707963267948966,0.0,1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.5707963267948966,0.0,1.0,970
3.141592653589793,1.5707963267948966,-1.5707963267948966,0,3.141592653589793,3.141592653589793,0,3.141592653589793,-1.5707963267948966,3.141592653589793,0,3.141592653589793,0,3.141592653589793,-1.5707963267948966,3.141592653589793,1.0,1648
-1.5707963267948966,1.5707963267948966,0,3.141592653589793,-1.5707963267948966,3.141592653589793,-1.5707963267948966,0,-1.5707963267948966,-1.5707963267948966,3.141592653589793,0,-1.5707963267948966,0,3.141592653589793,3.141592653589793,1.0,2363
-1.5707963267948966,1.5707963267948966,0,-1.5707963267948966,0,-1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,0,-1.5707963267948966,3.141592653589793,3.141592653589793,-1.5707963267948966,1.5707963267948966,1.125,3144
3.141592653589793,3.141592653589793,1.5707963267948966,-1.5707963267948966,1.5707963267948966,3.141592653589793,3.141592653589793,-1.5707963267948966,0,0,1.5707963267948966,3.141592653589793,1.5707963267948966,0,1.5707963267948966,3.141592653589793,1.0,3914
-1.5707963267948966,3.141592653589793,-1.5707963267948966,0,3.141592653589793,3.141592653589793,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,0,0,0,3.141592653589793,3.141592653589793,1.5707963267948966,3.141592653589793,2.375,4635
1.5707963267948966,3.141592653589793,-1.5707963267948966,3.141592653589793,3.141592653589793,1.5707963267948966,-1.5707963267948966,0,3.141592653589793,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,3.141592653589793,0,-1.5707963267948966,1.5707963267948966,1.125,5434
0,0,1.5707963267948966,-1.5707963267948966,3.141592653589793,0,-1.5707963267948966,0,3.141592653589793,3.141592653589793,0,-1.5707963267948966,-1.5707963267948966,0,3.141592653589793,3.141592653589793,1.025,6082
0,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948966,3.141592653589793,3.141592653589793,1.5707963267948966,1.5707963267948966,0,0,3.141592653589793,-1.5707963267948966,0,-1.5707963267948966,1.0,6779
0,1.5707963267948966,0,1.5707963267948966,3.141592653589793,1.5707963267948966,0,-1.5707963267948966,0,1.5707963267948966,-1.5707963267948966,0,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.0,7458
